,Author,Title,Quote
40,Nassim Niclas Taleb,Fooled by Randomness,Epiphenomena: Secondary phenomenon occurring parallel to a primary phenomenon. 
41,Nassim Niclas Taleb,Fooled by Randomness,Bhai: Hindi slang for mate or brother.
42,Nassim Niclas Taleb,Fooled by Randomness,Godel´s theorem: No consistent axioms that make it possible to solve all truths about arithmetic of natural numbers. 
43,Nassim Niclas Taleb,Fooled by Randomness,Peche-mignon: Indulgence
44,Nassim Niclas Taleb,Fooled by Randomness,"""If I am forced to eat pork, it better be the best kind"" - Yiddish saying"
45,Nassim Niclas Taleb,Fooled by Randomness,Yield hogs: People chasing higher yields from junk bonds. 
46,Nassim Niclas Taleb,Fooled by Randomness,"Firehose effect:  A propaganda technique in which a large number of messages are broadcast rapidly, repetitively, and continuously over multiple channels (such as news and social media) without regard for truth or consistency."
47,Nassim Niclas Taleb,Fooled by Randomness,"Computational finance, which, as the name implies, consists solely of running computer programs overnight."
48,Nassim Niclas Taleb,Fooled by Randomness,"Emotion is the accelerator agent of our logical system, i.e. the thing stopping us from debating problems endlessly in our head. "
49,Nassim Niclas Taleb,Fooled by Randomness,"Journalists are hired on their communication skills and not on their knowledge, leading to some pretty funny mistakes. "
50,Nassim Niclas Taleb,Fooled by Randomness,"A gambler is a person who gets a thrill of betting on a randomized outcome, regardless of the odds of winning. "
51,Matt Taibbi,Hate .Inc,Aphorisms: Concise statement of scientific principle.
52,Matt Taibbi,Hate .Inc,"Phlegmatic: Peaceful, relaxed quiet persons. "
53,Matt Taibbi,Hate .Inc,Habeas corpus: No jailing without trial
54,Matt Taibbi,Hate .Inc,Mehipstophelian: Cunning of the devil.
55,Matt Taibbi,Hate .Inc,Maquiladora: Custom-free factories. 
56,Matt Taibbi,Hate .Inc,AIG sunk in part because the executives did not understand its financial products.
57,Matt Taibbi,Hate .Inc,Deviancy amplification spiral: Using invented problems to drive concourse. 
58,Matt Taibbi,Hate .Inc,100-1 laws: Giving 100 times longer sentences for crack cocaine as powder cocaine. 
59,Matt Taibbi,Hate .Inc,The internet and advertising through adverts on the web have been instrumental in wrangling the monopoly of ads away from newspapers. 
60,Matt Taibbi,Hate .Inc,Tumescence: Being Engorged. 
61,Peter Thiel,Zero to One,Technology is miraculous because we do more with less.
62,Peter Thiel,Zero to One,"""What important truth do very few people agree with you on?"" - Peter Thiels asking potential candidates."
63,Peter Thiel,Zero to One,"""A startup is the largest group of people you can convince of a plan to build a different future"" - Peter Thiel"
64,Peter Thiel,Zero to One,"A company exists to make money, not lose it."
65,Peter Thiel,Zero to One,"Principles of startups:
It is better to risk boldness than triviality
A bad plan is better than no plan. 
Competitive markets destroy profits. 
Sales matters as much as products. 

"
66,Peter Thiel,Zero to One,It is better to risk boldness than triviality
67,Peter Thiel,Zero to One,A bad plan is better than no plan. 
68,Peter Thiel,Zero to One,Competitive markets destroy profits. 
69,Peter Thiel,Zero to One,Sales matters as much as products. 
70,Peter Thiel,Zero to One,"Monopolies lie so that they can protect their monopoly. For example, Google has a near-monopoly on search but frames itself as just another tech company (Gmail, GCS, etc.)"
71,Peter Thiel,Zero to One,"A monopolist can think about other things than money, non-monopolists cannot. "
72,Peter Thiel,Zero to One,Monopoly is the condition of any successful business. 
73,Peter Thiel,Zero to One,Proprietary technology must be at least 10 times as better than its closest substitute in some important dimension to lead to a real monopolistic advantage. 
74,Peter Thiel,Zero to One,"Businesses rarely gets started by MBA types, they lack the imagination to look beyond their slide deck. "
75,Peter Thiel,Zero to One,"Brand, scale, network effects and technology in some combination define a monopoly. "
76,Peter Thiel,Zero to One,"To succeed; first, you must study the endgame before anything else."
77,Peter Thiel,Zero to One,"""Victory awaits him who  has everything in order"" - Roald Amundsen"
78,Peter Thiel,Zero to One,Eroom´s law: (Moore´s law backward): The number of new drugs per billion dollars spent on R&D has halved every 9 years since 1950. 
79,Peter Thiel,Zero to One,The best VC investment should contribute all the returns from the investment capital. 
80,Peter Thiel,Zero to One,Fundalism says that there are simple truths that all must obey and things that cannot be explained. 
81,Peter Thiel,Zero to One,"Hewlett Packard, a cautionary tale about how lack of innovation (or lack of focus on innovation) can ruin a company. Also how politics and gossip can kill a company."
82,Peter Thiel,Zero to One,Andrew Wiles spent 9 years working on Fermat´s last theorem. 
83,Peter Thiel,Zero to One,"In a start-up, one must be wary of people with a non-stake. All in! No half measures! "
84,Peter Thiel,Zero to One,"Do not pay CEOs, they become champions of the status quo. "
85,Peter Thiel,Zero to One,"No company has a culture, a company is a culture. "
86,Peter Thiel,Zero to One,Recruiting should never be outsourced. 
87,Peter Thiel,Zero to One,Strongly defined rules lessens conflict. 
88,Bent Sørensen,Renewable energy,Meridional: North-South on the planet.
89,Bent Sørensen,Renewable energy,Adiabatical: No heat exchange
90,Bent Sørensen,Renewable energy,Evapotranspiration: Release of water from plant-based soil. 
91,Bent Sørensen,Renewable energy,The amount of solar energy on earth is around 175 petawatt. Around 50 petawatts are reflected back. 
92,Bent Sørensen,Renewable energy,Energy conversion in human society produced around 8.2 TW of heat waste (1970)
93,Bent Sørensen,Renewable energy,Same amount of recoverable energy from oil and gas as uranium^235 -> 10^22 Joule. 
94,Bent Sørensen,Renewable energy,White Earth:  A phenomenon where the entire earth will be frozen. A decrease in solar radiation of 1.6 % will lead to a cascading effect where less and less heat will be absorbed by the earth and make the entire planet freeze over. (idealized model)
95,Bent Sørensen,Renewable energy,Turbidity: Measure of liquid losing its transparency. 
96,Bent Sørensen,Renewable energy,The power of the wave system is of 10^-3 magnitude of the wind system. 
97,Bent Sørensen,Renewable energy,"Plant Growth decreases from deprivation of nitrogen, phosphorus and potassium, decreasing in order of magnitude from first to last."
98,Phillip Ball,H2O,"Chaos: From ancient greek meaning ""gas"""
99,Phillip Ball,H2O,Protolysis: Splitting water into oxygen and hydrogen.
100,Phillip Ball,H2O,Amazon delivers around 1/5 of the world's fresh water to the ocean.
101,Phillip Ball,H2O,The tidal current is governed by a 24hours + 50 minutes cycle.
102,Phillip Ball,H2O,Tropical cyclones are created when water reaches a temperature of 27 Celsius or warmer. 
103,Phillip Ball,H2O,"Certain types of plankton produce the gas DMS (Dimethyl sulfide), which is the cause of the invigorating smell of the ocean. "
104,Phillip Ball,H2O,Hydro-gene means water former
105,Phillip Ball,H2O,Oxy-gene means acid former. 
106,Phillip Ball,H2O,Oxygen released from millions of cyanobacteria resulted in a holocaust for life more profound than any human activity (Or natural for that matter)
107,Phillip Ball,H2O,"Plants take in water by osmosis, glucose in roots ensures instability and as the glucose molecules are too large to pass through the membrane, water must enter. "
108,N.N. Taleb,Antifragile,"""No skill to understand it, mastery to write it"" - Arab saying. "
109,N.N. Taleb,Antifragile,"""A man is truly free when he judges the world, and other men, with uncompromising sincerity"" - George Santayana"
110,N.N. Taleb,Antifragile,"Damocles sword: The Sicilian despot Dionysis the second holds a feast for the adventurer Damocles, but above Damocles hangs a sword held by a single horsehair. An allusion to the imminent and ever-present peril faced by those in positions of power."
111,N.N. Taleb,Antifragile,Flaneur: Walking observer of the metropolis.
112,N.N. Taleb,Antifragile,Econophysics: Applying physics to solve economics. 
113,N.N. Taleb,Antifragile,"""It never happened before"" - Alan Greenspan explaining the financial crisis of 2007 to congress. "
114,N.N. Taleb,Antifragile,"""Revolution feeds on oppression"" - Not known"
115,N.N. Taleb,Antifragile,Wolff effect (law): Your bones adapt based on stresses and demands placed on them. 
116,N.N. Taleb,Antifragile,Uomo d´onore: Cosa nostra expression of an honorable man (not a rat)
117,N.N. Taleb,Antifragile,Simplicity is most dangerous when some thing is nonlinear and is assumed to be linear. Most common procrustean bed. 
118,N.N. Taleb,Antifragile,"Procrustean bed - Forcing someone to fit or conform, generally through violence. "
119,N.N. Taleb,Antifragile,"""Avoid making the wrong mistakes"" - Yogi Berra"
120,N.N. Taleb,Antifragile,"One cannot compare governments across sizes, Singapore cannot be compared to India. "
121,N.N. Taleb,Antifragile,Dr. Semmelweis(Discoverer of importance of hygine in hospitals etc.) said that the establishment of doctors is a bunch of criminals.
122,N.N. Taleb,Antifragile,"Nordics had a number of severe crises in 1990, leading to austerity and tough fiscal policies that ensured that they became relatively unscathed by the financial crisis 20 years later."
123,N.N. Taleb,Antifragile,Metaphysical: Philosophy of first principles.
124,N.N. Taleb,Antifragile,Write the resignation letter before you start the job
125,N.N. Taleb,Antifragile,"""If This student is smart the teacher takes the credit "" - Yiddish Saying"
126,N.N. Taleb,Antifragile,Empiricism is organized charlatanism. - Common thinking in ancient times
127,N.N. Taleb,Antifragile,"Focus is not saying yes to the great idea it is saying no to all the 100 good ideas"" - Steve Jobs"
128,N.N. Taleb,Antifragile,"Bergerson's Razor: A philosopher should be known for a single idea, not more."
129,N.N. Taleb,Antifragile,Tempus redux veram: Time removes everything.
130,N.N. Taleb,Antifragile,Lindy effect: The old is expected to live longer than the young. ( expected life is proportional to live life ). 
131,N.N. Taleb,Antifragile,Neomania: obsession with the new. 
132,N.N. Taleb,Antifragile,If all medications were dumped into the Sea it would be better for mankind but not for the fish
133,N.N. Taleb,Antifragile,""" Behind you is the sea, before you, the enemy. You have left now only the hope of your courage and your constancy."" - Commander Tariq Ibn Ziyad after burning his fleet. "
134,N.N. Taleb,Antifragile,Anything that needs to be marked heavily is either an inferior product or an evil one.
135,Gene Kim,Phoenix Project,CIO  stands for career is over (Not chief information offices)
136,Gene Kim,Phoenix Project,"""Any improvements made anywhere besides the bottleneck is an illusion"" - Dr. Eliyaha Goldratt"
137,Gene Kim,Phoenix Project,Smoke test:  Testing term used by circuit engineers. If you turn the circuit on and no smoke comes out it will probably work.
138,Gene Kim,Phoenix Project,"Perfection is not the enemy of good, lack of competence is the enemy of good."
139,Gene Kim,Phoenix Project,"Four types of work: 
Business projects
Internal projects 
Transformations 
Unplanned work

"
140,Gene Kim,Phoenix Project,Business projects
141,Gene Kim,Phoenix Project,Internal projects 
142,Gene Kim,Phoenix Project,Transformations 
143,Gene Kim,Phoenix Project,Unplanned work
144,Gene Kim,Phoenix Project,Unplanned work is the interest of technical debt.
145,Gene Kim,Phoenix Project,"Until code is in production, no value is created."
146,Gene Kim,Phoenix Project,Swarming: Entire organization swarms a local problem.
147,Cal Newport,Digital Minimalism,All of the main selling points of the iPhone were integrating an iPod touch with a phone. The killer apps is making calls.
148,Cal Newport,Digital Minimalism,Big Tobacco engineered cigarettes to be more addictive.
149,Cal Newport,Digital Minimalism,"Wearing A red shirt on a dating profile leads to more interest.
A red shirt on a dating profile leads to more interest."
150,Cal Newport,Digital Minimalism,"Digital minimalism: A philosophy of technology use in which you focus your online time on a small number of carefully selected and optimized activities that strongly support things you value, and then happily miss out on everything else."
151,Cal Newport,Digital Minimalism,"Principles of digital minimalism
Clutter is costly.
Optimization is important.
Intentionality is satisfying.

"
152,Cal Newport,Digital Minimalism,Clutter is costly.
153,Cal Newport,Digital Minimalism,Optimization is important.
154,Cal Newport,Digital Minimalism,Intentionality is satisfying.
155,Cal Newport,Digital Minimalism,"""The cost of a thing is the amount of life which is required to be exchanged for it."" - Thoreau"
156,Cal Newport,Digital Minimalism,"Amish hacking: Choose the tools and technologies based on whether the technology provides more value than it costs(time, energy)."
157,Cal Newport,Digital Minimalism,"Digital D clutter process
30 day break from optional technologies.
Explore during the break activities you find satisfying and meaningful.
Re-introduce optimal technology determined from what value and how detrimental it is and how you can maximize its value.

"
158,Cal Newport,Digital Minimalism,30 day break from optional technologies.
159,Cal Newport,Digital Minimalism,Explore during the break activities you find satisfying and meaningful.
160,Cal Newport,Digital Minimalism,Re-introduce optimal technology determined from what value and how detrimental it is and how you can maximize its value.
161,Cal Newport,Digital Minimalism,"""Lead yourself first"" - Keith Ledge"
162,Cal Newport,Digital Minimalism,"""Well, if you think I can render some service, I will"" - Dr. Martin Luther King Jr. after appointment to lead them on call Montgomery bus boycott."
163,Cal Newport,Digital Minimalism,"""Conversations enriches understanding, but solitude is the school of geniuses"" - Edward Gibbon"
164,Cal Newport,Digital Minimalism,Sine qua non - Something you cannot disperse of. 
165,Cal Newport,Digital Minimalism,Solitude deprivation: A state in which you spend close to zero time along with your own thoughts and are free from input from other minds.
166,Cal Newport,Digital Minimalism,Bennet Principle: How to use a lot of energy on leisure to maximize benefits.
167,Cal Newport,Digital Minimalism,"""If electricity can be made visible in the middle part of the circuit, I see no reason why intelligence may not be transmitted by electricity."" - Samuel Morse"
168,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"""Executives often overestimate their progress compared to the boots on the ground."" - Klovens et. al."
169,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"High performers versus low performers:
46 times more frequent called deployment.
440 times faster lead time from commit to the poor.
170 times faster mean time to recover from downtown.
5 times over change failure rate.

"
170,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,46 times more frequent called deployment.
171,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,440 times faster lead time from commit to the poor.
172,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,170 times faster mean time to recover from downtown.
173,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,5 times over change failure rate.
174,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Teams achieve this by improving ride capabilities.
Teams achieve this by improving ride capabilities."
175,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Incommensurable: Cannot be measured or compared. 
176,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Measure should focus on outcomes, not output."
177,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Lead time is the time it takes to go from a customer making a request to a request being satisfied.
178,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Product delivery lead time: Code committed to code in production.
179,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Truism of Dev-Ops that culture is of huge importance.
180,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Typology of organizational culture:
Pathological (power-oriented) Silos
Bureaucratic (rule-oriented) turf based
Generative (performance-oriented) mission-based

"
181,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Pathological (power-oriented) Silos
182,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Bureaucratic (rule-oriented) turf based
183,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Generative (performance-oriented) mission-based
184,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,The DevOps generative mentality is good for data science as we encourage responsibility and share risk with the product team.
185,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"The goal of bureaucracy is to ensure fairness by applying rules to administrative behavior. Rules are the same, no preferential treatment."
186,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Rule-oriented culture firms, following rules is more important than achieving the mission."
187,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Continuous delivery is a set of capabilities that enables us to get changes of all kinds, features, configuration changes, bug fixes, or experiments into production or in the hands of your users safely quickly and sustainably."
188,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"""Quality is value to some person"" - Weinberg, software quality expert"
189,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Inverse Conway maneuver: Organizations should evolve their team and organizational structure to achieve the desired architecture.
190,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Deployment pain: Fair and anxiety that engineers feel when their push code into production. It is important to make sure because highlights fixing between development and operations.
191,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Technical practices that improve our ability to deliver software with both speed and stability also reduce stress and anxiety he associated with pushing code to production.
192,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Continous Delivery -> Lean Practises -> Job satisfaction -> Organizational.
193,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Practices like proactive monitoring, and test and deployment automation and enable automation -> Job satisfaction"
194,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Teams with more diversity are smarter teams. But teams and organizations must be inclusive. (Rock & Grant 2016)
195,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Yak shaving describes doing some seemingly useless task that is necessary to complete another task, which is necessary to complete other tasks, which eventually will allow you to complete your initial goal."
196,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Organize internal YAK days, where teams get together to work on technical debt. "
197,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Bezos 2 pizza rule: no team can be so large that it will require more than two pizzas to feed them.
198,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Teams with more women tend to fall above average on the collective intelligence scale(Wolley & Malione 2011).
199,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Since nearly every company relies on software, delivery performance is critical to any organization doing business day."
200,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"
24 key capabilities that drive performance:

Continous delivery:
Use version control for all production artifacts.
Ultimate deployment process.
Implement continuous integration.
Your strength-based deployment methods.
Implement test automation.
Support test data management.
Shift left on security.
Implement continuous delivery.


Architecture:
Use loosely coupled architecture.
Architect for empowered teams.


Product and process:
Gather and implement customer feedback.
Make workflow visible through the value stream.
Work in small batches.
Foster and amenable team experimentation.


Lean Management & Monitoring
Have a lightweight change approval process.
Monitor across application and infrastructure.
Check system health proactively.
Improve processes and manage work with WIP.
Visualize work to monitor quality and communications.


Cultural
Support generative culture.
Encourage and support learning.
Support And facilitate collaboration among teams.
Provide resources and tools to make work meaningful.
Support/body transformational leadership.


High performers are twice as likely to exceed organizational performance goals and non-commercial performance goals as low-performance teams. 
Four measures of software delivery performance:
Deployment frequency
Meantime to restart
Lead time
Change failure percentage
No trade-offs between improving performance and achieving higher levels of tempo.
Deployment frequency is highly correlated with version control comprehensive use and continuous deployment.
Lead time is highly correlated with version control and automated testing.
High performers have the shortest integration times. Branch life less than one day.

"
201,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Continous delivery:
Use version control for all production artifacts.
Ultimate deployment process.
Implement continuous integration.
Your strength-based deployment methods.
Implement test automation.
Support test data management.
Shift left on security.
Implement continuous delivery.

"
202,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Use version control for all production artifacts.
203,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Ultimate deployment process.
204,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Implement continuous integration.
205,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Your strength-based deployment methods.
206,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Implement test automation.
207,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Support test data management.
208,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Shift left on security.
209,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Implement continuous delivery.
210,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Architecture:
Use loosely coupled architecture.
Architect for empowered teams.

"
211,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Use loosely coupled architecture.
212,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Architect for empowered teams.
213,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Product and process:
Gather and implement customer feedback.
Make workflow visible through the value stream.
Work in small batches.
Foster and amenable team experimentation.

"
214,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Gather and implement customer feedback.
215,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Make workflow visible through the value stream.
216,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Work in small batches.
217,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Foster and amenable team experimentation.
218,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Lean Management & Monitoring
Have a lightweight change approval process.
Monitor across application and infrastructure.
Check system health proactively.
Improve processes and manage work with WIP.
Visualize work to monitor quality and communications.

"
219,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Have a lightweight change approval process.
220,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Monitor across application and infrastructure.
221,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Check system health proactively.
222,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Improve processes and manage work with WIP.
223,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,Visualize work to monitor quality and communications.
224,"Nicole Forsgren, Jez Humble and Gene Kim",Accelerate: the science behind DevOps : building and scaling high performing technology organizations,"Cultural
Support generative culture.
Encourage and support learning.
Support And facilitate collaboration among teams.
Provide resources and tools to make work meaningful.
Support/body transformational leadership.

"
